city,date,language,mobile,request_number,avatar_id,hotel_id,price,stock
valletta,1,maltese,1,1,186491,334,79,0
valletta,1,maltese,1,1,186491,400,87,8
valletta,1,maltese,1,1,186491,732,176,1
valletta,1,maltese,1,1,186491,988,160,0
valletta,1,maltese,1,1,186491,521,84,0
valletta,1,maltese,1,1,186491,501,88,0
valletta,1,maltese,1,1,186491,639,265,1
valletta,1,maltese,1,1,186491,404,136,0
valletta,1,maltese,1,1,186491,749,120,0
valletta,1,maltese,1,1,186491,200,117,6
valletta,1,maltese,1,1,186491,476,111,9
valletta,1,maltese,1,1,186491,325,98,0
valletta,1,maltese,1,1,186491,237,150,1
valletta,1,maltese,1,1,186491,965,146,1
valletta,1,maltese,1,1,186491,106,149,9
valletta,1,maltese,1,1,186491,282,157,0
valletta,1,maltese,1,1,186491,512,256,1
valletta,1,maltese,1,1,186491,746,157,2
valletta,1,maltese,1,1,186491,832,154,0
valletta,1,maltese,1,1,186491,905,159,0
valletta,1,maltese,1,1,186491,134,76,0
valletta,1,maltese,1,1,186491,466,162,0
valletta,1,maltese,1,1,186491,643,75,0
valletta,1,maltese,1,1,186491,859,135,0
valletta,1,maltese,1,1,186491,504,171,1
valletta,1,maltese,1,1,186491,424,269,1
valletta,1,maltese,1,1,186491,598,138,0
valletta,1,maltese,1,1,186491,363,159,0
valletta,1,maltese,1,1,186491,244,384,1
valletta,1,maltese,1,1,186491,718,157,0
valletta,1,maltese,1,1,186491,861,217,3
valletta,1,maltese,1,1,186491,371,96,0
valletta,1,maltese,1,1,186491,376,271,1
valletta,1,maltese,1,1,186491,985,71,0
valletta,1,maltese,1,1,186491,709,135,0
valletta,1,maltese,1,1,186491,209,69,0
valletta,1,maltese,1,1,186491,81,159,0
valletta,1,maltese,1,1,186491,360,176,1
valletta,1,maltese,1,1,186491,377,136,0
valletta,1,maltese,1,1,186491,295,71,0
valletta,1,maltese,1,1,186491,719,271,1
valletta,1,maltese,1,1,186491,592,386,1
valletta,1,maltese,1,1,186491,55,119,0
valletta,1,maltese,1,1,186491,480,73,0
valletta,1,latvian,1,1,186492,639,276,1
valletta,1,latvian,1,1,186492,480,76,0
valletta,1,latvian,1,1,186492,746,163,2
valletta,1,latvian,1,1,186492,200,122,6
valletta,1,latvian,1,1,186492,832,160,0
valletta,1,latvian,1,1,186492,334,82,0
valletta,1,latvian,1,1,186492,501,91,0
valletta,1,latvian,1,1,186492,404,141,0
valletta,1,latvian,1,1,186492,237,156,1
valletta,1,latvian,1,1,186492,134,80,0
valletta,1,latvian,1,1,186492,905,165,0
valletta,1,latvian,1,1,186492,371,100,0
valletta,1,latvian,1,1,186492,400,91,8
valletta,1,latvian,1,1,186492,859,140,0
valletta,1,latvian,1,1,186492,512,266,1
valletta,1,latvian,1,1,186492,466,169,0
valletta,1,latvian,1,1,186492,719,282,1
valletta,1,latvian,1,1,186492,282,163,0
valletta,1,latvian,1,1,186492,377,141,0
valletta,1,latvian,1,1,186492,244,399,1
valletta,1,latvian,1,1,186492,965,152,1
valletta,1,latvian,1,1,186492,476,116,9
valletta,1,latvian,1,1,186492,376,282,1
valletta,1,latvian,1,1,186492,360,183,1
valletta,1,latvian,1,1,186492,732,183,1
valletta,1,latvian,1,1,186492,592,401,1
valletta,1,latvian,1,1,186492,363,165,0
valletta,1,latvian,1,1,186492,295,74,0
valletta,1,latvian,1,1,186492,749,125,0
valletta,1,latvian,1,1,186492,709,140,0
valletta,1,latvian,1,1,186492,424,280,1
valletta,1,latvian,1,1,186492,718,163,0
valletta,1,latvian,1,1,186492,55,124,0
valletta,1,latvian,1,1,186492,598,143,0
valletta,1,latvian,1,1,186492,209,72,0
valletta,1,latvian,1,1,186492,504,178,1
valletta,1,latvian,1,1,186492,106,155,9
valletta,1,latvian,1,1,186492,985,74,0
